date,Month,Day,location,population
2021-05-09,5,9,4,313960
2021-05-08,5,8,0,1734169
2021-05-08,5,8,1,478116
2021-05-08,5,8,2,1462199
2021-05-08,5,8,3,482199
2021-05-08,5,8,4,313960
2021-05-07,5,7,0,1734169
2021-05-07,5,7,1,478116
2021-05-07,5,7,2,1462199
2021-05-07,5,7,3,482199
2021-05-07,5,7,4,313960
2021-05-06,5,6,0,1734169
2021-05-06,5,6,1,478116
2021-05-06,5,6,2,1462199
2021-05-06,5,6,3,482199
2021-05-06,5,6,4,313960
2021-05-05,5,5,0,1734169
2021-05-05,5,5,1,478116
2021-05-05,5,5,2,1462199
2021-05-05,5,5,3,482199
2021-05-05,5,5,4,313960
2021-05-04,5,4,0,1734169
2021-05-04,5,4,1,478116
2021-05-04,5,4,2,1462199
2021-05-04,5,4,3,482199
2021-05-04,5,4,4,313960
2021-05-03,5,3,0,1734169
2021-05-03,5,3,1,478116
2021-05-03,5,3,2,1462199
2021-05-03,5,3,3,482199
2021-05-03,5,3,4,313960
2021-05-02,5,2,0,1734169
2021-05-02,5,2,1,478116
2021-05-02,5,2,2,1462199
2021-05-02,5,2,3,482199
2021-05-02,5,2,4,313960
2021-05-01,5,1,0,1734169
2021-05-01,5,1,1,478116
2021-05-01,5,1,2,1462199
2021-05-01,5,1,3,482199
2021-05-01,5,1,4,313960
2021-04-30,4,30,0,1734169
2021-04-30,4,30,1,478116
2021-04-30,4,30,2,1462199
2021-04-30,4,30,3,482199
2021-04-30,4,30,4,313960
2021-04-29,4,29,0,1734169
2021-04-29,4,29,1,478116
2021-04-29,4,29,2,1462199
2021-04-29,4,29,3,482199
2021-04-29,4,29,4,313960
2021-04-28,4,28,0,1734169
2021-04-28,4,28,1,478116
2021-04-28,4,28,2,1462199
2021-04-28,4,28,3,482199
2021-04-28,4,28,4,313960
2021-04-27,4,27,0,1734169
2021-04-27,4,27,1,478116
2021-04-27,4,27,2,1462199
2021-04-27,4,27,3,482199
2021-04-27,4,27,4,313960
2021-04-26,4,26,0,1734169
2021-04-26,4,26,1,478116
2021-04-26,4,26,2,1462199
2021-04-26,4,26,3,482199
2021-04-26,4,26,4,313960
2021-04-25,4,25,0,1734169
2021-04-25,4,25,1,478116
2021-04-25,4,25,2,1462199
2021-04-25,4,25,3,482199
2021-04-25,4,25,4,313960
